 Óbitos por Causas Externas - Santa Catarina
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: V01-V99 Acidentes de transporte
Período:2016
"Município";"Óbitos_p/Ocorrênc"
"420519 Ermo";2
"420520 Erval Velho";1
"420530 Faxinal dos Guedes";3
"420535 Flor do Sertão";-
"420540 Florianópolis";82
"420543 Formosa do Sul";-
"420545 Forquilhinha";1
"420550 Fraiburgo";-
"420555 Frei Rogério";3
"420560 Galvão";-
"420570 Garopaba";3
"420580 Garuva";8
"420590 Gaspar";13
"420600 Governador Celso Ramos";3
"420610 Grão Pará";2
"420620 Gravatal";3
"420630 Guabiruba";2
"420640 Guaraciaba";1
"420650 Guaramirim";8
"420660 Guarujá do Sul";1
"420665 Guatambú";-
"420670 Herval d'Oeste";-
"420675 Ibiam";-
"420680 Ibicaré";-
"420690 Ibirama";13
"420700 Içara";23
"420710 Ilhota";9
"420720 Imaruí";3
"420730 Imbituba";13
"420740 Imbuia";-
"420750 Indaial";19
"420757 Iomerê";-
"420760 Ipira";1
"420765 Iporã do Oeste";1
"420768 Ipuaçu";2
"420770 Ipumirim";1
"420775 Iraceminha";2
"420780 Irani";9
"420785 Irati";-
"420790 Irineópolis";1
"420800 Itá";2
"420810 Itaiópolis";6
"420820 Itajaí";50
"420830 Itapema";9
"420840 Itapiranga";3
"420845 Itapoá";1
"420850 Ituporanga";11
"420860 Jaborá";-
"420870 Jacinto Machado";1
"420880 Jaguaruna";8
"420890 Jaraguá do Sul";39
"420895 Jardinópolis";-
"420900 Joaçaba";18
"420910 Joinville";108
"420915 José Boiteux";1
"420917 Jupiá";-
"420920 Lacerdópolis";2
"420930 Lages";42
"420940 Laguna";6
"420945 Lajeado Grande";1
"420950 Laurentino";3
"420960 Lauro Muller";4
"420970 Lebon Régis";5
"420980 Leoberto Leal";-
"420985 Lindóia do Sul";-
"420990 Lontras";6
"421000 Luiz Alves";3
"421003 Luzerna";1
"421005 Macieira";-
"421010 Mafra";14
"421020 Major Gercino";-
"421030 Major Vieira";1
"421040 Maracajá";1
"421050 Maravilha";9
"421055 Marema";-
"421060 Massaranduba";4
"421070 Matos Costa";-
"421080 Meleiro";-
"421085 Mirim Doce";-
"421090 Modelo";2
"421100 Mondaí";1
"421105 Monte Carlo";-
"421110 Monte Castelo";4
"421120 Morro da Fumaça";2
"421125 Morro Grande";-
"421130 Navegantes";8
"421140 Nova Erechim";2
"421145 Nova Itaberaba";-
"421150 Nova Trento";5
"421160 Nova Veneza";4
"421165 Novo Horizonte";1
"421170 Orleans";5
"421175 Otacílio Costa";1
"421180 Ouro";-
"421185 Ouro Verde";-
"421187 Paial";-
"421189 Painel";2
"421190 Palhoça";14
"421200 Palma Sola";-
"421205 Palmeira";3
"421210 Palmitos";4
"421220 Papanduva";2
"421223 Paraíso";1
"421225 Passo de Torres";1
"421227 Passos Maia";-
"421230 Paulo Lopes";-
"421240 Pedras Grandes";-
"421250 Penha";4
"421260 Peritiba";1
"421265 Pescaria Brava";1
"421270 Petrolândia";1
"421290 Pinhalzinho";3
"421300 Pinheiro Preto";1
"421310 Piratuba";1
"421315 Planalto Alegre";-
"421320 Pomerode";9
"421330 Ponte Alta";4
"421335 Ponte Alta do Norte";-
"421340 Ponte Serrada";7
"421350 Porto Belo";3
"421360 Porto União";9
"421370 Pouso Redondo";8
"421380 Praia Grande";-
"421390 Presidente Castello Branco";-
"421400 Presidente Getúlio";-
"421410 Presidente Nereu";-
"421415 Princesa";-
"421420 Quilombo";2
"421430 Rancho Queimado";2
"421440 Rio das Antas";1
"421450 Rio do Campo";1
"421460 Rio do Oeste";-
"421480 Rio do Sul";39
"421470 Rio dos Cedros";-
"421490 Rio Fortuna";1
"421500 Rio Negrinho";6
"421505 Rio Rufino";1
"421507 Riqueza";-
"421510 Rodeio";4
"421520 Romelândia";1
"421530 Salete";-
"421535 Saltinho";1
"421540 Salto Veloso";-
"421545 Sangão";2
"421550 Santa Cecília";4
"421555 Santa Helena";-
"421560 Santa Rosa de Lima";1
"421565 Santa Rosa do Sul";2
"421567 Santa Terezinha";1
"421568 Santa Terezinha do Progresso";-
"421569 Santiago do Sul";-
"421570 Santo Amaro da Imperatriz";4
"421580 São Bento do Sul";10
"421575 São Bernardino";-
"421590 São Bonifácio";-
"421600 São Carlos";2
"421605 São Cristovão do Sul";1
"421610 São Domingos";-
"421620 São Francisco do Sul";8
"421630 São João Batista";6
"421635 São João do Itaperiú";-
"421625 São João do Oeste";-
"421640 São João do Sul";-
"421650 São Joaquim";3
"421660 São José";60
"421670 São José do Cedro";2
"421680 São José do Cerrito";5
"421690 São Lourenço do Oeste";3
"421700 São Ludgero";-
"421710 São Martinho";1
"421715 São Miguel da Boa Vista";-
"421720 São Miguel do Oeste";25
"421725 São Pedro de Alcântara";2
"421730 Saudades";1
"421740 Schroeder";-
"421750 Seara";1
"421755 Serra Alta";-
"421760 Siderópolis";2
"421770 Sombrio";3
"421775 Sul Brasil";-
"421780 Taió";4
"421790 Tangará";2
"421795 Tigrinhos";-
"421800 Tijucas";6
"421810 Timbé do Sul";-
"421820 Timbó";8
"421825 Timbó Grande";-
"421830 Três Barras";-
"421835 Treviso";-
"421840 Treze de Maio";1
"421850 Treze Tílias";-
"421860 Trombudo Central";5
"421870 Tubarão";50
"421875 Tunápolis";-
"421880 Turvo";1
"421885 União do Oeste";1
"421890 Urubici";1
"421895 Urupema";-
"421900 Urussanga";5
"421910 Vargeão";1
"421915 Vargem";1
"421917 Vargem Bonita";3
"421920 Vidal Ramos";1
"421930 Videira";15
"421935 Vitor Meireles";-
"421940 Witmarsum";2
"421950 Xanxerê";22
"421960 Xavantina";3
"421970 Xaxim";7
"421985 Zortéa";-
"420000 Município ignorado - SC";-
"Total";1524
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
