ano ti cens li ui copa cavalo bloco
92 20  0  20 NA 3 2 1        
92 20  0  20 NA 3 2 3        
73  1  1   0  1 3 3 3        
73  1  1   0  1 3 3 5        
88 16  1  15 16 3 3 4        
92 20  0  20 NA 3 3 2        
92 20  0  20 NA 3 3 1        
74  2  1   1  2 3 4 5        
75  3  1   2  3 3 4 3        
87 15  1  14 15 3 4 4        
90 18  1  17 18 3 4 1        
92 20  0  20 NA 3 4 2        
74  2  1   1  2 3 5 2        
74  2  1   1  2 3 5 4        
87 15  1  14 15 3 5 5        
90 18  1  17 18 3 5 3        
92 20  0  20 NA 3 5 1        
73  1  1   0  1 3 6 1        
86 14  1  13 14 3 6 3        
90 18  1  17 18 3 6 4        
90 18  1  17 18 3 6 5        
92 20  0  20 NA 3 6 2        
73  1  1   0  1 3 7 2        
81  9  1   3  9 3 7 5        
90 18  1  17 18 3 7 1        
90 18  1  17 18 3 7 4        
92 20  1  18 20 3 7 3        
88 16  1  15 16 4 1 5        
90 18  1  17 18 4 1 3        
92 20  0  20 NA 4 1 4        
92 20  0  20 NA 4 1 2        
92 20  0  20 NA 4 1 1        
73  1  1   0  1 4 2 2        
86 14  1  13 14 4 2 1        
86 14  1  13 14 4 2 4        
92 20  0  20 NA 4 2 3        
92 20  0  20 NA 4 2 5        
86 14  1  13 14 4 3 1        
88 16  1  15 16 4 3 3        
88 16  1  15 16 4 3 4        
90 18  1  17 18 4 3 2        
92 20  1  18 20 4 3 5        
81  9  1   3  9 4 4 2        
85 13  1  11 13 4 4 5        
87 15  1  14 15 4 4 4        
92 20  0  20 NA 4 4 1        
92 20  0  20 NA 4 4 3        
73  1  1   0  1 4 5 2        
81  9  1   3  9 4 5 4        
85 13  1  11 13 4 5 5        
92 20  0  20 NA 4 5 1        
92 20  0  20 NA 4 5 3        
87 15  1  14 15 4 6 2        
90 18  1  17 18 4 6 4        
90 18  1  17 18 4 6 5        
92 20  1  18 20 4 6 3        
92 20  1  18 20 4 6 1        
87 15  1  14 15 4 7 4        
87 15  1  14 15 4 7 5        
89 17  1  16 17 4 7 3        
92 20  0  20 NA 4 7 1        
92 20  0  20 NA 4 7 2        
73  1  1   0  1 5 1 5        
85 13  1  11 13 5 1 1        
89 17  1  16 17 5 1 2        
90 18  1  17 18 5 1 3        
92 20  0  20 NA 5 1 4        
85 13  1  11 13 5 2 2        
85 13  1  11 13 5 2 4        
89 17  1  16 17 5 2 3        
92 20  0  20 NA 5 2 1        
92 20  0  20 NA 5 2 5        
86 14  1  13 14 5 3 1        
86 14  1  13 14 5 3 2        
88 16  1  15 16 5 3 4        
92 20  0  20 NA 5 3 3        
92 20  0  20 NA 5 3 5        
81  9  1   3  9 5 4 5        
85 13  1  11 13 5 4 2        
86 14  1  13 14 5 4 3        
87 15  1  14 15 5 4 4        
92 20  0  20 NA 5 4 1        
73  1  1   0  1 5 5 2        
86 14  1  13 14 5 5 1        
89 17  1  16 17 5 5 5        
92 20  0  20 NA 5 5 3        
92 20  0  20 NA 5 5 4        
86 14  1  13 14 5 6 1        
88 16  1  15 16 5 6 4        
92 20  1  18 20 5 6 5        
92 20  0  20 NA 5 6 2        
92 20  0  20 NA 5 6 3        
74  2  1   1  2 5 7 2        
88 16  1  15 16 5 7 3        
92 20  0  20 NA 5 7 1        
92 20  0  20 NA 5 7 4        
92 20  0  20 NA 5 7 5        
85 13  1  11 13 6 1 2        
86 14  1  13 14 6 1 1        
87 15  1  14 15 6 1 4        
88 16  1  15 16 6 1 5        
89 17  1  16 17 6 1 3        
85 13  1  11 13 6 2 1        
85 13  1  11 13 6 2 3        
85 13  1  11 13 6 2 5        
86 14  1  13 14 6 2 2        
90 18  1  17 18 6 2 4        
85 13  1  11 13 6 3 4        
87 15  1  14 15 6 3 5        
88 16  1  15 16 6 3 3        
88 16  1  15 16 6 3 2        
88 16  1  15 16 6 3 1        
85 13  1  11 13 6 4 1        
86 14  1  13 14 6 4 3        
87 15  1  14 15 6 4 2        
88 16  1  15 16 6 4 4        
88 16  1  15 16 6 4 5        
83 11  1   9 11 6 5 4        
85 13  1  11 13 6 5 1        
85 13  1  11 13 6 5 2        
85 13  1  11 13 6 5 3        
85 13  1  11 13 6 5 5        
85 13  1  11 13 6 6 2        
87 15  1  14 15 6 6 4        
87 15  1  14 15 6 6 1        
88 16  1  15 16 6 6 3        
90 18  1  17 18 6 6 5        
81  9  1   3  9 6 7 4        
86 14  1  13 14 6 7 3        
87 15  1  14 15 6 7 5        
88 16  1  15 16 6 7 1        
90 18  1  17 18 6 7 2        
                             
