 ano ti cens li ui  copa cavalo bloco
  92 21    0 21 NA    3      3     1 
  74  3    1  2  3    3      4     5 
  75  4    1  3  4    3      4     3 
  87 16    1 15 16    3      4     4 
  90 19    1 18 19    3      4     1 
  92 21    0 21 NA    3      4     2 
  74  3    1  2  3    3      5     2 
  74  3    1  2  3    3      5     4 
  87 16    1 15 16    3      5     5 
  90 19    1 18 19    3      5     3 
  92 21    0 21 NA    3      5     1 
  73  2    1  0  2    3      6     1 
  86 15    1 14 15    3      6     3 
  90 19    1 18 19    3      6     4 
  90 19    1 18 19    3      6     5 
  92 21    0 21 NA    3      6     2 
  73  2    1  0  2    3      7     2 
  81 10    1  4 10    3      7     5 
  90 19    1 18 19    3      7     1 
  90 19    1 18 19    3      7     4 
  92 21    1 19 21    3      7     3 
  88 17    1 16 17    4      1     5 
  90 19    1 18 19    4      1     3 
  92 21    0 21 NA    4      1     4 
  92 21    0 21 NA    4      1     2 
  92 21    0 21 NA    4      1     1 
  73  2    1  0  2    4      2     2 
  86 15    1 14 15    4      2     1 
  86 15    1 14 15    4      2     4 
  92 21    0 21 NA    4      2     3 
  92 21    0 21 NA    4      2     5 
  86 15    1 14 15    4      3     1 
  88 17    1 16 17    4      3     3 
  88 17    1 16 17    4      3     4 
  90 19    1 18 19    4      3     2 
  92 21    1 19 21    4      3     5 
  81 10    1  4 10    4      4     2 
  85 14    1 12 14    4      4     5 
  87 16    1 15 16    4      4     4 
  92 21    0 21 NA    4      4     1 
  92 21    0 21 NA    4      4     3 
  73  2    1  0  2    4      5     2 
  81 10    1  4 10    4      5     4 
  85 14    1 12 14    4      5     5 
  92 21    0 21 NA    4      5     1 
  92 21    0 21 NA    4      5     3 
  87 16    1 15 16    4      6     2 
  90 19    1 18 19    4      6     4 
  90 19    1 18 19    4      6     5 
  92 21    1 19 21    4      6     3 
  92 21    1 19 21    4      6     1 
  87 16    1 15 16    4      7     4 
  87 16    1 15 16    4      7     5 
  89 18    1 17 18    4      7     3 
  92 21    0 21 NA    4      7     1 
  92 21    0 21 NA    4      7     2 
  73  2    1  0  2    5      1     5 
  85 14    1 12 14    5      1     1 
  89 18    1 17 18    5      1     2 
  90 19    1 18 19    5      1     3 
  92 21    0 21 NA    5      1     4 
  85 14    1 12 14    5      2     2 
  85 14    1 12 14    5      2     4 
  89 18    1 17 18    5      2     3 
  92 21    0 21 NA    5      2     1 
  92 21    0 21 NA    5      2     5 
  86 15    1 14 15    5      3     1 
  86 15    1 14 15    5      3     2 
  88 17    1 16 17    5      3     4 
  92 21    0 21 NA    5      3     3 
  92 21    0 21 NA    5      3     5 
  81 10    1  4 10    5      4     5 
  85 14    1 12 14    5      4     2 
  86 15    1 14 15    5      4     3 
  87 16    1 15 16    5      4     4 
  92 21    0 21 NA    5      4     1 
  73  2    1  0  2    5      5     2 
  86 15    1 14 15    5      5     1 
  89 18    1 17 18    5      5     5 
  92 21    0 21 NA    5      5     3 
  92 21    0 21 NA    5      5     4 
  86 15    1 14 15    5      6     1 
  88 17    1 16 17    5      6     4 
  92 21    1 19 21    5      6     5 
  92 21    0 21 NA    5      6     2 
  92 21    0 21 NA    5      6     3 
  74  3    1  2  3    5      7     2 
  88 17    1 16 17    5      7     3 
  92 21    0 21 NA    5      7     1 
  92 21    0 21 NA    5      7     4 
  92 21    0 21 NA    5      7     5 
  85 14    1 12 14    6      1     2 
  86 15    1 14 15    6      1     1 
  87 16    1 15 16    6      1     4 
  88 17    1 16 17    6      1     5 
  89 18    1 17 18    6      1     3 
  85 14    1 12 14    6      2     1 
  85 14    1 12 14    6      2     3 
  85 14    1 12 14    6      2     5 
  86 15    1 14 15    6      2     2 
  90 19    1 18 19    6      2     4 
  85 14    1 12 14    6      3     4 
  87 16    1 15 16    6      3     5 
  88 17    1 16 17    6      3     3 
  88 17    1 16 17    6      3     2 
  88 17    1 16 17    6      3     1 
  85 14    1 12 14    6      4     1 
  86 15    1 14 15    6      4     3 
  87 16    1 15 16    6      4     2 
  88 17    1 16 17    6      4     4 
  88 17    1 16 17    6      4     5 
  83 12    1 10 12    6      5     4 
  85 14    1 12 14    6      5     1 
  85 14    1 12 14    6      5     2 
  85 14    1 12 14    6      5     3 
  85 14    1 12 14    6      5     5 
  85 14    1 12 14    6      6     2 
  87 16    1 15 16    6      6     4 
  87 16    1 15 16    6      6     1 
  88 17    1 16 17    6      6     3 
  90 19    1 18 19    6      6     5 
  81 10    1  4 10    6      7     4 
  86 15    1 14 15    6      7     3 
  87 16    1 15 16    6      7     5 
  88 17    1 16 17    6      7     1 
  90 19    1 18 19    6      7     2 
