jury,juror,liability,negligence,oralArg,award
4,44,1,0,0,0
4,45,1,0,0,0
4,46,1,0,0,0
4,47,1,0,0,0
4,48,1,0,0,0
4,49,1,0,0,0
4,50,1,0,0,0
4,51,1,0,0,0
4,52,1,0,0,0
4,53,1,0,0,0
4,54,1,0,0,0
4,55,1,0,0,0
4,56,1,0,0,0
4,57,1,0,0,0
4,58,1,0,0,0
4,59,1,0,0,0
4,60,1,0,0,0
4,61,1,0,0,0
4,62,1,0,0,0
4,63,1,0,0,0
4,64,1,0,0,0
4,65,1,0,0,0
4,66,1,0,0,0
4,67,1,0,0,0
4,68,1,0,0,0
4,69,1,0,0,0
4,70,1,0,0,0
4,71,1,0,0,0
4,72,1,0,0,0
4,73,1,0,0,0
4,74,1,0,0,0
4,75,1,0,0,0
5,1,0,1,0,1
5,2,0,1,0,1
5,3,0,1,0,1
5,4,0,1,0,1
5,5,0,1,0,1
5,6,0,1,0,1
5,7,0,1,0,1
5,8,0,1,0,1
5,9,0,1,0,1
5,10,0,1,0,1
5,11,0,1,0,1
5,12,0,1,0,1
5,13,0,1,0,1
5,14,0,1,0,1
5,15,0,1,0,1
5,16,0,1,0,1
5,17,0,1,0,1
5,18,0,1,0,1
5,19,0,1,0,1
5,20,0,1,0,1
5,21,0,1,0,1
5,22,0,1,0,1
5,23,0,1,0,1
5,24,0,1,0,1
5,25,0,1,0,1
5,26,0,1,0,1
5,27,0,1,0,1
5,28,0,1,0,1
5,29,0,1,0,1
5,30,0,1,0,1
5,31,0,1,0,1
5,32,0,1,0,1
5,33,0,1,0,1
5,34,0,1,0,1
5,35,0,1,0,1
5,36,0,1,0,1
5,37,0,1,0,1
5,38,0,1,0,1
5,39,0,1,0,0
5,40,0,1,0,0
5,41,0,1,0,0
5,42,0,1,0,0
5,43,0,1,0,0
5,44,0,1,0,0
5,45,0,1,0,0
5,46,0,1,0,0
5,47,0,1,0,0
5,48,0,1,0,0
5,49,0,1,0,0
5,50,0,1,0,0
5,51,0,1,0,0
5,52,0,1,0,0
5,53,0,1,0,0
5,54,0,1,0,0
5,55,0,1,0,0
5,56,0,1,0,0
5,57,0,1,0,0
5,58,0,1,0,0
5,59,0,1,0,0
5,60,0,1,0,0
5,61,0,1,0,0
5,62,0,1,0,0
5,63,0,1,0,0
5,64,0,1,0,0
5,65,0,1,0,0
5,66,0,1,0,0
5,67,0,1,0,0
5,68,0,1,0,0
5,69,0,1,0,0
5,70,0,1,0,0
5,71,0,1,0,0
5,72,0,1,0,0
5,73,0,1,0,0
5,74,0,1,0,0
5,75,0,1,0,0
5,76,0,1,0,0
5,77,0,1,0,0
5,78,0,1,0,0
5,79,0,1,0,0
5,80,0,1,0,0
5,81,0,1,0,0
5,82,0,1,0,0
5,83,0,1,0,0
5,84,0,1,0,0
5,85,0,1,0,0
5,86,0,1,0,0
5,87,0,1,0,0
