Package ,Item ,Title ,Rows ,Cols ,has_logical ,has_binary ,has_numeric ,has_character ,CSV ,Doc
gap ,mao ,A study of Parkinson's disease and MAO gene ,340,19,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
DAAG ,vlt ,Video Lottery Terminal Data ,345,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
gap ,apoeapoc ,APOE/APOC1 markers and Alzheimer's ,353,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,Greene ,Refugee Appeals ,384,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,crohn ,Crohn's disease data ,387,212,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
survival ,retinopathy ,Diabetic Retinopathy ,394,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,Salaries ,Salaries for Professors ,397,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
lattice ,USRegionalMortality ,Mortality Rates in US by Cause and Gender ,400,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mi ,nlsyV ,National Longitudinal Survey of Youth Extract ,400,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,Carseats ,Sales of Child Car Seats ,400,11,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,Credit ,Credit Card Balance Data ,400,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,loomis ,loomis ,410,11,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
survival ,pbc ,Mayo Clinic Primary Biliary Cirrhosis Data ,418,20,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Caschool ,The California Test Score Data Set ,420,17,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,cps3 ,Labour Training Evaluation Data ,429,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,InsuranceVote ,InsuranceVote ,435,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ggplot2 ,midwest ,Midwest demographics ,437,28,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
geepack ,respiratory ,Data from a clinical trial comparing two treatments for a respiratory illness ,444,8,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,nsw74demo ,Labour Training Evaluation Data ,445,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,free1 ,Freedom of Speech Data ,450,11,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Zelig ,free2 ,Freedom of Speech Data ,450,11,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,Unemployment ,Unemployment Duration ,452,12,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
mosaicData ,HELPrct ,Health Evaluation and Linkage to Primary Care ,453,29,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
boot ,channing ,Channing House Data ,462,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
KMsurv ,channing ,data from Section 1.16 ,462,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Stat2Data ,FlightResponse ,FlightResponse ,464,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mosaicData ,HELPmiss ,Health Evaluation and Linkage to Primary Care ,470,27,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,nep499 ,A study of Alzheimer's disease with eight SNPs and APOE ,499,23,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Stat2Data ,YouthRisk2009 ,YouthRisk2009 ,500,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,Boston ,Housing Values in Suburbs of Boston ,506,14,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Hedonic ,Hedonic Prices of Census Tracts in Boston ,506,15,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
plm ,Hedonic ,Hedonic Prices of Census Tracts in the Boston Area ,506,15,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
pscl ,UKHouseOfCommons ,1992 United Kingdom electoral returns ,521,12,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
mi ,CHAIN ,Subset of variables from the CHAIN project ,532,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mosaicData ,CPS85 ,Data from the 1985 Current Population Survey (CPS85) ,534,11,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Housing ,Sales Prices of Houses in the City of Windsor ,546,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
HSAUR ,respiratory ,Respiratory Illness Data ,555,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mediation ,school ,School-level data ,568,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
boot ,aids ,Delay in AIDS Reporting in England and Wales ,570,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
quantreg ,uis ,UIS Drug Treatment study data ,575,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Fair ,Extramarital Affairs Data ,601,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,affairs ,affairs ,601,18,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,Mathlevel ,Level of Calculus Attained for Students Taking Advanced Micro-economics ,609,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
lme4 ,Arabidopsis ,Arabidopsis clipping/fertilization data ,625,8,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,Crime ,Crime in North Carolina ,630,24,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
plm ,Crime ,Crime in North Carolina ,630,24,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,myeloid ,Acute myeloid leukemia ,646,7,FALSE ,TRUE ,FALSE ,TRUE ,CSV  ,DOC  
Ecdat ,Somerville ,Visits to Lake Somerville ,659,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
reshape2 ,french_fries ,Sensory data from a french fries experiment. ,696,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,biopsy ,Biopsy Data on Breast Cancer Patients ,699,11,FALSE ,TRUE ,FALSE ,TRUE ,CSV  ,DOC  
psych ,sat.act ,"3 Measures of ability: SATV, SATQ, ACT ",700,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
rpart ,solder ,Soldering of Components on Printed-Circuit Boards ,720,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,nswdemo ,Labour Training Evaluation Data ,722,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
HistData ,PearsonLee ,Pearson and Lee's data on the heights of parents and children classified by gender ,746,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,Mroz ,U.S. Women's Labor-Force Participation ,753,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Mroz ,Labor Supply Data ,753,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Griliches ,Wage Datas ,758,20,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,rhDNase ,rhDNASE data set ,767,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,College ,U.S. News and World Report's College Data ,777,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
HistData ,Quarrels ,Statistics of Deadly Quarrels ,779,84,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,transplant ,Liver transplant waiting list ,815,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,PD ,"A study of Parkinson's disease and APOE, LRRK2, SNCA makers ",825,22,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
Ecdat ,ModeChoice ,Data to Study Travel Mode Choice ,840,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
KMsurv ,kidtran ,data from Section 1.7 ,863,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,Participation ,Labor Force Participation ,872,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
KMsurv ,std ,data from Section 1.12 ,877,24,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
mosaicData ,Galton ,Galton's dataset of parent and child heights ,898,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mediation ,jobs ,JOBS II data ,899,17,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,solder ,Data from a soldering experiment ,900,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
multgee ,arthritis ,Rheumatoid Arthritis Clinical Trial ,906,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Hawks ,Hawks ,908,19,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
pscl ,vote92 ,Reports of voting in the 1992 U.S. Presidential election. ,909,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
pscl ,bioChemists ,article production by graduate students in biochemistry Ph.D. programs ,915,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
KMsurv ,bfeed ,data from Section 1.14 ,927,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
HistData ,GaltonFamilies ,"Galton's data on the heights of parents and their children, by child ",934,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
psych ,epiR ,Eysenck Personality Inventory (EPI) data for 3570 participants ,948,60,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
mediation ,boundsdata ,Example Data for the Design Functions ,1000,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Pines ,Pines ,1000,15,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gamclass ,german ,German credit scoring data ,1000,21,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
geepack ,spruce ,Log-size of 79 Sitka spruce trees ,1027,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Goldenrod ,Goldenrod Galls ,1055,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,OJ ,Orange Juice Data ,1070,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,Weekly ,Weekly S&P Stock Market Data ,1089,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,OME ,Tests of Auditory Perception in Children with OME ,1097,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Stat2Data ,Marathon ,Marathon ,1127,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,HHSCyberSecurityBreaches ,Cybersecurity breaches reported to the US Department of Health and Human Services ,1151,9,TRUE ,TRUE ,FALSE ,TRUE ,CSV  ,DOC  
ISLR ,Smarket ,S&P Stock Market Data ,1250,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,mifem ,Mortality Outcomes for Females Suffering Myocardial Infarction ,1295,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Titanic ,Titanic ,1313,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,mexico ,Voting Data from the 1988 Mexican Presidental Election ,1359,33,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
survival ,mgus2 ,Monoclonal gammapothy data ,1384,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,science ,School Science Survey Data ,1385,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,NCbirths ,NCbirths ,1450,15,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mosaicData ,HELPfull ,Health Evaluation and Linkage to Primary Care ,1472,788,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,medpar ,medpar ,1495,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Zelig ,voteincome ,Sample Turnout and Demographic Data from the 2000 Current Population Survey ,1500,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,BudgetUK ,Budget Shares of British Households ,1519,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,BEPS ,British Election Panel Study ,1525,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
psych ,ability ,16 ability items scored as correct or incorrect. ,1525,16,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
fpp2 ,prisonLF ,prison ,1536,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Gunnels ,Gunnels ,1592,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mosaicData ,SaratogaHouses ,Houses in Saratoga County (2006) ,1728,16,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,PatentsHGH ,Dynamic Relation Between Patents and R&D ,1730,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
pscl ,politicalInformation ,Interviewer ratings of respondent levels of political information ,1807,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Kakadu ,Willingness to Pay for the Preservation of the Kakadu National Park ,1827,22,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,colon ,Chemotherapy for Stage B/C colon cancer ,1858,16,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,azcabgptca ,azcabgptca ,1959,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Zelig ,turnout ,Turnout Data Set from the National Election Survey ,2000,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mediation ,CEDdata ,Example Data for the Crossover Encouragement Design ,2000,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,dengue ,"Dengue prevalence, by administrative region ",2000,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,mdvis ,mdvis ,2227,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,nlschools ,Eighth-Grade Pupils in the Netherlands ,2287,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,cps2 ,Labour Training Evaluation Data ,2369,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Hdma ,The Boston HMDA Data Set ,2381,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Hmda ,The Boston HMDA Data Set ,2381,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Yogurt ,Choice of Brand for Yogurts ,2412,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,immi1 ,Individual Preferences Over Immigration Policy ,2485,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,immi2 ,Individual Preferences Over Immigration Policy ,2485,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,immi3 ,Individual Preferences Over Immigration Policy ,2485,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,immi4 ,Individual Preferences Over Immigration Policy ,2485,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,immi5 ,Individual Preferences Over Immigration Policy ,2485,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
