,"dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"14618","10-24",1,"belted",1,"m",19,"driver",0,0
"11426","10-24",1,"none",1,"m",16,"pass",1,1
"23044","10-24",1,"belted",1,"m",18,"driver",0,0
"23535","10-24",1,"belted",0,"f",42,"driver",1,0
"3586","10-24",1,"belted",0,"f",19,"pass",0,2
"20457","10-24",1,"belted",1,"m",22,"driver",1,0
"22666","10-24",1,"belted",1,"m",37,"driver",1,0
"17928","10-24",1,"none",0,"m",21,"driver",0,1
"18002","10-24",1,"none",1,"m",30,"driver",0,3
"14714","10-24",1,"belted",1,"f",30,"pass",1,2
"12683","25-39",1,"none",1,"m",27,"driver",0,3
"8685","25-39",1,"none",0,"m",22,"driver",0,3
"5153","10-24",1,"none",1,"f",17,"driver",1,2
"23357","1-9km/h",1,"belted",1,"f",38,"driver",0,0
"6289","10-24",1,"belted",1,"m",18,"driver",0,2
"1230","10-24",1,"belted",1,"m",27,"driver",1,2
"3444","25-39",1,"belted",1,"m",26,"driver",1,3
"23567","25-39",1,"belted",1,"f",52,"pass",1,2
"26070","55+",1,"belted",0,"m",20,"driver",0,3
"5550","25-39",1,"belted",0,"m",47,"pass",1,1
"19248","25-39",1,"belted",0,"m",74,"driver",0,2
"8891","40-54",1,"none",0,"f",16,"pass",1,3
"8198","25-39",1,"belted",1,"f",28,"driver",0,1
"17740","1-9km/h",1,"none",1,"m",22,"driver",1,0
"3625","25-39",1,"belted",1,"m",20,"driver",0,0
"4906","10-24",1,"belted",1,"f",50,"driver",1,3
"8569","10-24",1,"belted",1,"m",29,"driver",0,0
"25156","10-24",1,"belted",0,"m",22,"driver",0,0
"24988","40-54",1,"belted",1,"m",36,"driver",0,2
"1592","10-24",1,"none",1,"m",36,"driver",0,2
"13800","1-9km/h",1,"belted",1,"m",46,"driver",1,2
"14318","10-24",1,"belted",1,"f",33,"driver",1,3
"25968","40-54",1,"belted",1,"m",18,"pass",1,1
"2635","10-24",1,"belted",1,"m",18,"driver",0,3
"1196","10-24",1,"belted",1,"f",16,"driver",0,1
"21126","25-39",1,"belted",1,"f",19,"driver",0,0
"12116","10-24",1,"none",1,"m",37,"pass",0,2
"20263","25-39",1,"belted",1,"m",84,"driver",1,3
"18612","10-24",1,"belted",1,"m",47,"driver",1,0
"23542","10-24",1,"belted",0,"m",44,"driver",0,3
"8501","25-39",1,"belted",1,"m",37,"driver",0,1
"6028","10-24",1,"belted",1,"m",56,"driver",0,0
"880","55+",1,"none",1,"f",36,"driver",0,3
"9352","25-39",1,"none",1,"m",33,"driver",0,0
"23726","25-39",1,"belted",0,"m",34,"driver",0,1
"5628","1-9km/h",1,"belted",1,"f",37,"driver",0,0
"7935","1-9km/h",1,"none",1,"f",30,"driver",0,2
"1534","1-9km/h",1,"belted",0,"f",52,"driver",0,3
"5502","25-39",1,"belted",0,"f",39,"driver",0,3
"14395","10-24",1,"belted",1,"f",37,"driver",1,1
"2875","55+",1,"none",0,"f",22,"pass",0,3
"14785","25-39",1,"none",0,"f",68,"driver",0,3
"10977","25-39",1,"none",0,"f",25,"driver",0,3
"15298","25-39",1,"belted",1,"f",24,"driver",1,3
"24504","40-54",1,"none",1,"m",19,"driver",1,3
"16382","40-54",1,"belted",0,"f",16,"driver",1,1
"23048","10-24",1,"none",1,"f",35,"driver",1,1
"2846","25-39",1,"none",0,"f",40,"driver",0,3
"16552","40-54",1,"none",0,"f",46,"driver",1,3
"15011","1-9km/h",1,"belted",1,"m",27,"driver",0,0
"23445","10-24",1,"belted",1,"m",40,"pass",1,0
"10260","25-39",1,"belted",1,"f",49,"driver",1,3
"11125","25-39",1,"belted",1,"f",29,"driver",1,0
"1449","10-24",1,"none",0,"m",25,"driver",1,3
"5431","25-39",1,"none",1,"m",23,"pass",0,3
"10289","25-39",1,"belted",1,"f",51,"driver",0,3
"5843","10-24",1,"belted",1,"f",52,"driver",0,3
"10714","10-24",1,"belted",1,"m",24,"pass",0,0
"25733","25-39",1,"belted",0,"f",18,"pass",0,3
"25265","40-54",1,"belted",0,"f",19,"pass",0,3
"1893","10-24",1,"belted",0,"f",49,"driver",1,3
"21001","55+",1,"none",0,"m",20,"driver",0,1
"11952","10-24",1,"belted",1,"m",65,"pass",1,0
"15945","40-54",1,"belted",0,"f",69,"driver",1,3
"11873","25-39",1,"none",1,"m",24,"pass",0,0
"15359","10-24",1,"none",1,"m",20,"driver",0,3
"11459","25-39",1,"none",1,"m",20,"pass",0,0
"10174","10-24",1,"none",1,"m",22,"driver",0,3
"19459","40-54",1,"none",1,"f",41,"pass",1,3
"23052","25-39",1,"belted",1,"f",21,"driver",0,2
"2390","25-39",1,"none",1,"f",52,"pass",0,2
"5346","10-24",1,"belted",0,"m",85,"driver",0,0
"4749","10-24",1,"none",0,"f",51,"driver",0,0
"405","40-54",1,"none",1,"m",39,"driver",0,3
"20789","10-24",1,"none",1,"m",20,"driver",1,3
"1091","25-39",1,"belted",1,"f",22,"driver",0,3
"9854","25-39",1,"belted",1,"m",16,"pass",0,1
"482","40-54",1,"none",1,"m",22,"pass",0,3
"16368","10-24",1,"belted",1,"f",16,"driver",0,0
"19673","25-39",1,"belted",0,"f",37,"driver",1,3
"22558","10-24",1,"belted",1,"m",33,"driver",1,0
"11222","55+",1,"none",1,"m",34,"driver",1,3
"5077","10-24",1,"belted",0,"f",28,"driver",0,1
"9195","25-39",1,"belted",0,"f",52,"pass",0,3
"18763","10-24",1,"belted",1,"f",17,"pass",0,0
"16067","10-24",1,"belted",1,"m",26,"driver",1,3
"10524","25-39",1,"belted",1,"f",27,"pass",0,1
"6198","10-24",1,"belted",0,"f",48,"driver",0,2
"18985","25-39",1,"belted",1,"m",36,"driver",1,1
"3950","10-24",1,"belted",1,"f",24,"pass",0,0
"14927","10-24",1,"belted",1,"f",42,"driver",0,0
"1286","25-39",1,"belted",1,"m",65,"driver",0,2
"7711","10-24",1,"belted",0,"m",84,"driver",0,0
"2870","10-24",1,"none",1,"f",26,"driver",0,2
"25272","25-39",1,"belted",1,"m",76,"driver",1,2
"4024","10-24",1,"belted",0,"f",25,"driver",0,1
"12115","10-24",1,"none",1,"f",31,"driver",0,2
"15815","10-24",1,"belted",1,"m",25,"driver",0,1
"24442","10-24",1,"belted",0,"f",33,"pass",0,0
"17225","10-24",1,"belted",1,"m",33,"driver",1,3
"10247","10-24",1,"belted",1,"m",66,"driver",0,2
"1947","55+",1,"none",1,"m",27,"pass",0,1
"18840","25-39",1,"belted",1,"m",45,"driver",1,0
"6523","10-24",1,"none",1,"f",20,"driver",0,3
"2817","10-24",1,"belted",0,"m",48,"driver",1,3
"14829","25-39",1,"belted",0,"m",90,"driver",0,2
"23774","25-39",1,"belted",1,"f",51,"driver",1,3
"24212","10-24",1,"belted",0,"f",17,"driver",0,3
"25595","25-39",1,"belted",1,"m",19,"driver",1,0
"9837","10-24",1,"none",1,"f",16,"driver",0,3
"2021","25-39",1,"belted",0,"f",16,"driver",0,1
"23203","10-24",1,"belted",1,"m",31,"driver",1,0
"16398","10-24",1,"none",1,"m",21,"driver",0,0
"14033","10-24",1,"belted",1,"f",24,"pass",0,1
"7397","25-39",1,"belted",1,"f",19,"driver",0,3
"4211","25-39",1,"belted",0,"m",17,"driver",0,1
"19309","10-24",1,"belted",0,"m",21,"pass",0,1
"15065","10-24",1,"belted",1,"m",54,"driver",0,0
"24774","25-39",1,"belted",0,"m",19,"driver",0,0
"1696","25-39",1,"none",1,"f",72,"driver",0,3
"14939","10-24",1,"belted",1,"f",25,"driver",1,1
"7363","40-54",1,"none",1,"m",27,"driver",0,2
"19816","40-54",1,"belted",0,"f",21,"driver",1,3
"20597","10-24",1,"belted",1,"f",29,"driver",1,1
"14489","10-24",1,"belted",0,"f",16,"driver",0,1
"7823","10-24",1,"none",1,"f",22,"pass",1,3
"17514","10-24",1,"belted",1,"m",19,"driver",0,5
"20278","10-24",1,"belted",1,"f",55,"driver",1,3
"4993","40-54",1,"none",1,"f",39,"driver",1,3
"5901","10-24",1,"none",1,"m",33,"driver",0,1
"19493","10-24",1,"belted",0,"f",46,"driver",0,3
"18498","40-54",1,"belted",0,"f",63,"driver",1,3
"18008","25-39",1,"belted",1,"f",73,"pass",0,0
"2350","1-9km/h",1,"belted",0,"f",28,"pass",0,0
"7857","10-24",1,"belted",0,"m",85,"driver",0,3
"11143","10-24",1,"belted",0,"f",71,"driver",0,3
"23758","25-39",1,"none",1,"f",17,"pass",0,3
"24680","10-24",1,"belted",1,"m",46,"driver",1,0
"24880","25-39",1,"none",1,"m",22,"driver",0,1
"312","25-39",1,"belted",0,"m",70,"driver",0,1
"7027","40-54",1,"belted",0,"m",16,"driver",0,3
"18181","25-39",1,"none",0,"f",40,"driver",0,2
"7383","10-24",1,"none",1,"f",33,"driver",0,3
"16045","10-24",1,"belted",1,"m",55,"driver",1,3
"8790","10-24",1,"belted",1,"f",17,"pass",1,0
"15707","25-39",1,"belted",1,"f",22,"pass",1,2
"15408","25-39",1,"none",0,"m",20,"pass",1,2
"6775","10-24",1,"belted",1,"m",24,"driver",0,0
"3112","10-24",1,"none",1,"f",24,"pass",1,3
"21968","25-39",1,"belted",0,"m",50,"driver",1,1
"4010","10-24",1,"belted",1,"f",19,"driver",1,1
"22146","25-39",1,"belted",1,"m",38,"driver",0,0
"22206","10-24",1,"belted",1,"f",50,"driver",1,3
"22833","10-24",1,"belted",1,"f",21,"driver",0,0
"9408","25-39",1,"belted",1,"f",19,"driver",0,3
"23114","25-39",1,"belted",1,"f",17,"pass",0,3
"15613","25-39",1,"none",1,"m",46,"driver",0,3
"17049","10-24",1,"belted",1,"m",42,"driver",1,0
"24651","10-24",1,"belted",1,"m",50,"driver",0,0
"16501","10-24",1,"belted",0,"f",32,"driver",0,3
"3637","10-24",1,"belted",1,"m",19,"pass",0,2
"26038","25-39",1,"belted",1,"f",20,"driver",0,3
"25647","10-24",1,"none",1,"m",20,"pass",1,0
"11919","55+",1,"none",1,"m",44,"driver",0,3
"12666","10-24",1,"none",1,"m",19,"driver",0,1
"2141","10-24",1,"belted",1,"f",27,"driver",1,1
"22265","10-24",1,"belted",1,"m",45,"driver",1,3
"16520","10-24",1,"belted",1,"m",22,"pass",1,0
"21166","25-39",1,"belted",0,"f",33,"driver",1,0
"18352","10-24",1,"belted",0,"m",23,"driver",1,1
"25181","10-24",1,"belted",0,"f",82,"driver",0,1
"10176","25-39",1,"none",0,"m",38,"pass",0,3
"4287","25-39",1,"belted",0,"f",17,"driver",0,0
"21311","25-39",1,"none",1,"m",44,"driver",0,2
"1868","10-24",1,"belted",1,"m",24,"driver",1,3
"8950","10-24",1,"belted",1,"f",51,"driver",1,3
"15904","10-24",1,"belted",0,"f",50,"driver",0,0
"25247","25-39",1,"none",1,"m",24,"driver",1,1
"1611","25-39",1,"none",1,"f",18,"driver",0,1
"2919","40-54",1,"none",1,"m",50,"driver",0,3
"18251","10-24",1,"belted",1,"f",17,"pass",0,0
"23444","10-24",1,"belted",1,"m",42,"driver",1,3
"9625","10-24",1,"belted",1,"m",48,"driver",0,0
"26147","10-24",1,"belted",0,"f",42,"pass",0,2
"125","10-24",1,"belted",0,"m",42,"pass",0,0
"15826","25-39",1,"belted",1,"f",34,"driver",1,2
"5362","10-24",1,"belted",1,"m",38,"pass",0,2
"1910","10-24",1,"belted",1,"m",18,"driver",0,3
"14352","25-39",1,"belted",1,"f",50,"driver",1,2
"8859","40-54",1,"none",1,"m",26,"driver",0,2
"5286","10-24",1,"belted",1,"m",30,"driver",0,2
"11052","25-39",1,"none",1,"f",49,"driver",0,3
"9912","10-24",1,"none",1,"f",22,"driver",1,2
"19445","40-54",1,"belted",1,"m",32,"driver",0,3
"5355","10-24",1,"belted",1,"m",38,"driver",1,3
"19020","25-39",1,"belted",1,"f",19,"driver",1,3
"19509","10-24",1,"none",1,"f",29,"driver",0,2
"12797","10-24",1,"belted",1,"m",18,"driver",0,0
"25401","10-24",1,"belted",1,"f",25,"driver",0,0
"2813","40-54",1,"belted",0,"m",19,"driver",0,0
"2421","40-54",1,"belted",0,"f",59,"pass",0,1
"14093","25-39",1,"none",1,"f",27,"driver",0,3
"15664","55+",1,"none",1,"f",24,"driver",0,3
"7917","10-24",1,"belted",1,"m",38,"driver",0,0
"25071","25-39",1,"none",1,"m",23,"pass",1,3
"21966","25-39",1,"belted",1,"f",41,"driver",1,0
"23830","10-24",1,"belted",0,"m",60,"driver",0,2
"10856","40-54",1,"none",1,"m",29,"driver",0,3
"15115","40-54",1,"belted",0,"m",45,"driver",0,2
"5526","10-24",1,"belted",0,"m",39,"driver",0,0
"5515","40-54",1,"belted",0,"f",19,"pass",0,2
"2680","25-39",1,"none",1,"f",35,"driver",0,3
"6450","10-24",1,"belted",0,"f",71,"pass",0,3
"18851","40-54",1,"none",1,"m",37,"driver",1,3
"19390","10-24",1,"belted",0,"f",93,"pass",0,0
"9875","25-39",1,"belted",1,"f",47,"driver",0,0
"9038","10-24",1,"none",1,"m",53,"driver",0,0
"9026","25-39",1,"belted",0,"f",25,"driver",0,0
"5320","25-39",1,"belted",1,"m",31,"driver",0,2
"6176","25-39",1,"belted",1,"m",46,"driver",0,1
"1127","25-39",1,"belted",1,"f",29,"driver",1,3
"26155","40-54",1,"belted",1,"m",35,"driver",1,2
"2271","40-54",1,"belted",0,"m",43,"driver",1,3
"24883","10-24",1,"belted",0,"f",29,"driver",0,3
"15540","10-24",1,"belted",0,"f",80,"driver",0,3
"10867","55+",1,"none",1,"m",50,"pass",0,3
"21550","10-24",1,"belted",1,"f",17,"pass",0,0
"14837","10-24",1,"belted",1,"m",52,"pass",0,0
"24721","10-24",1,"belted",1,"m",44,"driver",1,2
"9411","40-54",1,"belted",1,"f",42,"driver",1,2
"9955","10-24",1,"belted",1,"f",75,"pass",0,0
"24346","10-24",1,"none",0,"m",30,"driver",1,3
"12151","25-39",1,"belted",1,"m",54,"driver",1,1
"8157","25-39",1,"none",1,"m",39,"driver",0,2
"19004","10-24",1,"belted",1,"f",23,"driver",1,2
"10985","25-39",1,"belted",1,"m",16,"driver",0,3
"25511","10-24",1,"none",0,"f",48,"driver",0,3
"24969","10-24",1,"none",0,"f",22,"driver",0,2
"22082","10-24",1,"none",1,"f",26,"driver",0,0
"24231","25-39",1,"none",1,"m",23,"driver",0,3
"18595","25-39",1,"belted",1,"f",21,"pass",0,3
"628","25-39",1,"none",0,"f",76,"driver",0,1
"21511","55+",1,"none",1,"m",24,"pass",0,3
"6856","40-54",1,"none",1,"m",47,"driver",0,3
"21588","10-24",1,"belted",0,"f",57,"pass",0,1
"17835","10-24",1,"belted",0,"f",18,"driver",0,1
"8093","25-39",1,"belted",1,"f",19,"pass",0,2
"10101","10-24",1,"belted",1,"f",16,"driver",0,1
"25769","10-24",1,"belted",1,"m",70,"driver",0,3
"22053","10-24",1,"belted",1,"f",25,"pass",1,0
"3908","25-39",1,"belted",1,"f",16,"driver",0,3
"10965","40-54",1,"none",0,"f",25,"driver",1,3
"12625","55+",1,"belted",0,"m",37,"pass",0,3
"15329","55+",1,"belted",1,"m",16,"driver",0,3
"23356","10-24",1,"belted",0,"f",66,"pass",0,1
"33","1-9km/h",1,"belted",1,"m",17,"pass",0,0
"14141","40-54",1,"none",1,"m",64,"driver",1,3
"19025","25-39",1,"belted",0,"m",49,"driver",0,3
"20907","25-39",1,"none",0,"m",58,"driver",0,0
"12946","25-39",1,"belted",1,"f",22,"driver",0,1
"14058","10-24",1,"belted",1,"m",17,"pass",0,0
"7580","25-39",1,"none",1,"f",19,"driver",0,3
"15215","10-24",1,"belted",0,"f",49,"pass",0,1
"12884","1-9km/h",1,"belted",0,"m",50,"driver",1,3
"22437","10-24",1,"belted",0,"f",69,"pass",1,3
"21102","10-24",1,"belted",1,"f",29,"driver",1,3
"1160","25-39",1,"belted",1,"m",16,"driver",1,0
"13286","10-24",1,"belted",1,"f",58,"pass",1,1
"3033","25-39",1,"none",1,"m",33,"driver",1,3
"21082","10-24",1,"none",0,"f",48,"pass",0,2
"23346","1-9km/h",1,"belted",0,"f",42,"driver",0,3
"14795","40-54",1,"belted",0,"m",28,"driver",1,3
"9537","40-54",1,"belted",1,"f",45,"driver",1,3
"16591","25-39",1,"belted",1,"m",17,"pass",1,3
"22727","10-24",1,"belted",0,"f",22,"driver",0,0
"19878","25-39",1,"none",1,"m",22,"pass",1,1
"21696","10-24",1,"belted",1,"f",26,"driver",0,0
"3539","10-24",1,"belted",1,"f",26,"driver",1,3
"12008","10-24",1,"belted",1,"f",19,"driver",0,2
"19999","10-24",1,"belted",1,"m",19,"pass",0,2
"13720","25-39",1,"belted",1,"m",26,"driver",1,2
"3142","10-24",1,"belted",0,"f",20,"driver",0,3
"20648","25-39",1,"none",1,"f",35,"driver",0,2
"20800","10-24",1,"belted",1,"f",24,"driver",0,0
"21086","25-39",1,"belted",1,"f",18,"driver",1,3
"17389","10-24",1,"belted",0,"f",38,"driver",0,0
"24423","10-24",1,"belted",1,"m",40,"pass",1,0
"5471","40-54",1,"none",1,"m",26,"driver",0,3
"9185","10-24",1,"belted",0,"f",29,"driver",0,3
"16474","1-9km/h",1,"belted",1,"m",42,"driver",0,3
"24456","10-24",1,"belted",1,"f",20,"driver",1,3
"4892","10-24",1,"belted",1,"f",72,"driver",1,3
"1530","10-24",1,"belted",1,"f",56,"pass",0,0
"5228","25-39",1,"none",1,"m",73,"driver",1,3
"5282","10-24",1,"none",1,"f",64,"pass",0,2
"2862","25-39",1,"belted",1,"m",33,"driver",1,1
"6309","25-39",1,"belted",1,"m",16,"pass",1,1
"24785","25-39",1,"belted",1,"m",17,"driver",1,2
"7793","10-24",1,"belted",1,"f",18,"pass",0,1
"19776","25-39",1,"belted",1,"f",40,"driver",1,3
"15742","10-24",1,"none",0,"m",28,"driver",0,1
"3656","10-24",1,"none",0,"m",39,"driver",0,2
"10208","10-24",1,"belted",0,"m",39,"driver",0,3
"25490","25-39",1,"none",1,"f",18,"pass",0,3
"5234","25-39",1,"belted",1,"m",38,"driver",1,3
"11176","25-39",1,"belted",1,"m",56,"pass",0,2
"3661","40-54",1,"none",1,"m",30,"driver",0,3
"11311","25-39",1,"none",1,"f",28,"driver",1,1
"19430","10-24",1,"none",1,"m",16,"driver",0,3
"13213","55+",1,"belted",1,"f",23,"driver",1,3
"12274","25-39",1,"belted",1,"f",46,"driver",1,3
"1655","1-9km/h",1,"none",1,"f",33,"pass",0,3
"1944","10-24",1,"belted",1,"f",20,"pass",0,0
"21748","10-24",1,"belted",1,"m",42,"driver",1,1
"10538","10-24",1,"belted",0,"f",34,"driver",0,0
"19474","10-24",1,"none",1,"m",20,"driver",1,2
"25700","40-54",1,"belted",1,"m",72,"driver",1,2
"11962","25-39",1,"none",1,"m",41,"pass",0,3
"7583","25-39",1,"belted",1,"f",48,"driver",1,3
"16961","10-24",1,"belted",0,"f",28,"pass",0,1
"287","10-24",1,"belted",0,"f",50,"driver",0,1
"18926","10-24",1,"belted",0,"m",29,"driver",0,2
"6129","40-54",1,"belted",0,"f",20,"driver",0,2
"13586","55+",1,"belted",1,"f",21,"driver",1,0
"21630","10-24",1,"belted",1,"m",29,"driver",0,3
"10295","10-24",1,"belted",1,"f",22,"pass",0,0
"4518","10-24",1,"belted",1,"m",40,"driver",1,0
"18922","25-39",1,"none",1,"m",33,"driver",0,3
"17816","10-24",1,"none",1,"f",18,"driver",1,1
"23999","40-54",1,"none",0,"f",18,"driver",1,3
"16823","10-24",1,"none",0,"m",29,"driver",0,3
"8205","1-9km/h",1,"belted",1,"m",39,"driver",0,1
"18222","10-24",1,"belted",1,"f",43,"driver",1,1
"13518","10-24",1,"none",1,"f",38,"pass",0,1
"20125","25-39",1,"belted",0,"m",25,"driver",0,2
"25420","10-24",1,"belted",1,"f",17,"driver",1,3
"17026","25-39",1,"none",1,"m",23,"driver",1,1
"3308","10-24",1,"belted",0,"f",38,"driver",0,0
"891","40-54",1,"belted",1,"m",49,"driver",1,3
"15729","10-24",1,"belted",1,"m",22,"driver",0,0
"5176","10-24",1,"belted",1,"f",42,"pass",0,0
"19266","25-39",1,"belted",1,"m",40,"driver",1,0
"22071","25-39",1,"belted",0,"m",33,"driver",0,5
"11857","40-54",1,"none",0,"f",21,"pass",0,1
"1263","10-24",1,"belted",1,"f",23,"pass",0,0
"22537","10-24",1,"none",0,"m",50,"driver",0,3
"3118","40-54",1,"none",0,"m",34,"pass",0,3
"10530","25-39",1,"belted",1,"f",73,"driver",0,2
"12856","10-24",1,"none",0,"m",33,"driver",0,3
"18226","25-39",1,"belted",1,"m",53,"driver",0,1
"25495","10-24",1,"belted",0,"f",43,"driver",0,1
"7182","40-54",1,"belted",0,"m",19,"pass",0,2
"13692","25-39",1,"belted",1,"f",45,"pass",1,2
"18290","10-24",1,"belted",0,"f",29,"driver",0,3
"24354","10-24",1,"none",1,"m",21,"driver",1,3
"18439","25-39",1,"belted",0,"m",37,"driver",0,1
"12915","10-24",1,"none",1,"f",31,"driver",0,2
"23173","10-24",1,"none",0,"m",47,"driver",0,2
"5366","25-39",1,"none",1,"m",25,"driver",1,1
"16592","10-24",1,"belted",0,"f",39,"driver",0,1
"19472","25-39",1,"belted",1,"f",42,"driver",1,3
"571","10-24",1,"none",1,"m",49,"driver",0,2
"22600","10-24",1,"belted",0,"f",36,"driver",0,2
"7869","25-39",1,"belted",0,"m",42,"driver",0,1
"18857","10-24",1,"belted",1,"m",17,"driver",0,0
"21007","25-39",1,"none",1,"m",16,"pass",1,2
"12697","25-39",1,"belted",0,"m",27,"driver",0,1
"8591","55+",1,"none",1,"m",25,"driver",1,1
"20235","10-24",1,"belted",0,"f",33,"driver",1,2
"2","10-24",1,"belted",1,"f",72,"driver",1,1
"10349","10-24",1,"belted",1,"m",29,"driver",0,0
"10266","10-24",1,"belted",1,"m",35,"driver",1,2
"19142","10-24",1,"belted",0,"m",22,"driver",0,0
"24383","25-39",1,"belted",1,"m",18,"driver",0,0
"23844","55+",1,"belted",1,"m",35,"driver",1,0
"25535","10-24",1,"belted",0,"m",42,"driver",0,1
"5867","25-39",1,"belted",1,"m",46,"driver",0,0
"13770","10-24",1,"belted",1,"m",21,"driver",0,3
"24055","10-24",1,"belted",1,"f",49,"driver",0,3
"1786","10-24",1,"belted",1,"m",25,"driver",0,0
"3039","10-24",1,"belted",1,"m",17,"driver",0,0
"1059","25-39",1,"none",0,"f",42,"driver",0,0
"23742","10-24",1,"belted",1,"m",37,"driver",1,0
"21912","25-39",1,"none",1,"f",46,"pass",1,5
"7581","25-39",1,"none",1,"f",21,"pass",0,3
"210","10-24",1,"none",1,"f",18,"pass",0,3
"6977","10-24",1,"belted",0,"m",40,"driver",0,1
"15060","10-24",1,"belted",0,"f",24,"driver",0,0
"19716","25-39",1,"belted",0,"f",20,"driver",0,3
"1762","1-9km/h",1,"belted",0,"f",16,"pass",0,0
"23109","10-24",1,"belted",1,"m",83,"driver",1,0
"23358","40-54",1,"belted",1,"f",19,"driver",1,3
"8813","25-39",1,"none",0,"f",22,"driver",0,3
"17310","10-24",1,"none",1,"f",20,"driver",1,1
"2908","10-24",1,"belted",0,"f",37,"pass",0,0
"2672","10-24",1,"belted",1,"f",50,"driver",0,1
"13499","10-24",1,"none",1,"f",19,"driver",0,2
"13563","10-24",1,"belted",1,"f",66,"driver",0,1
"22025","10-24",1,"belted",1,"f",69,"driver",1,0
"11408","10-24",1,"belted",1,"f",24,"driver",0,1
"23770","10-24",1,"belted",1,"m",49,"driver",0,1
"9604","25-39",1,"belted",1,"m",86,"driver",0,0
"2187","40-54",1,"belted",1,"m",19,"driver",1,3
"8459","10-24",1,"belted",1,"f",17,"driver",0,1
"21174","40-54",1,"belted",0,"m",28,"driver",0,3
"10782","10-24",1,"belted",1,"f",53,"driver",0,2
"1774","10-24",1,"belted",1,"m",42,"driver",0,0
"23460","10-24",1,"belted",0,"m",34,"driver",0,1
"4479","10-24",1,"belted",1,"f",31,"pass",0,2
"2116","25-39",1,"belted",0,"f",29,"pass",0,3
"8309","10-24",1,"belted",1,"f",47,"driver",0,1
"24353","10-24",1,"belted",1,"f",18,"driver",0,3
"22981","10-24",1,"belted",1,"f",20,"pass",0,1
"25617","40-54",1,"none",1,"f",17,"driver",1,3
"14139","10-24",1,"belted",0,"m",28,"driver",0,0
"7467","25-39",1,"none",1,"f",17,"driver",0,3
"1148","10-24",1,"belted",1,"m",27,"driver",1,0
"748","10-24",1,"belted",1,"m",23,"pass",0,3
"7484","10-24",1,"belted",1,"m",25,"driver",0,0
"8154","40-54",1,"none",0,"m",55,"driver",0,3
"13740","40-54",1,"belted",0,"m",18,"driver",1,2
"9855","25-39",1,"belted",1,"m",16,"driver",1,1
"22523","10-24",1,"belted",1,"m",59,"driver",0,0
"26204","10-24",1,"belted",1,"m",47,"driver",0,2
"17444","55+",1,"belted",0,"f",22,"driver",0,3
"25792","25-39",1,"none",0,"m",26,"driver",1,3
"14983","10-24",1,"none",0,"f",57,"driver",0,1
"12397","10-24",1,"belted",1,"m",72,"driver",0,3
"16351","25-39",1,"none",1,"f",20,"driver",1,0
"938","10-24",1,"belted",0,"f",22,"pass",1,3
"4463","40-54",1,"belted",0,"f",17,"driver",0,1
"4843","25-39",1,"belted",0,"f",19,"driver",1,3
"5535","10-24",1,"none",0,"m",28,"pass",0,0
"7280","40-54",1,"none",1,"f",16,"driver",1,3
"22615","10-24",1,"belted",1,"f",16,"driver",0,0
"13961","25-39",1,"none",1,"m",19,"pass",1,3
"11534","25-39",1,"none",0,"f",30,"pass",1,3
"13966","25-39",1,"belted",1,"m",51,"driver",0,3
"25727","40-54",1,"belted",1,"m",88,"driver",1,3
"25546","25-39",1,"none",1,"m",17,"pass",0,1
