"","dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"1003","25-39",0,"none",0,"m",81,"driver",1,4
"1005","40-54",0,"belted",0,"f",26,"driver",0,4
"1051","40-54",0,"belted",0,"f",37,"pass",1,4
"1081","55+",0,"belted",0,"f",27,"driver",1,4
"1115","40-54",0,"none",1,"m",49,"driver",1,4
"1157","55+",0,"none",1,"m",30,"driver",0,4
"1163","40-54",0,"none",1,"f",18,"driver",1,4
"1167","10-24",0,"none",1,"m",61,"driver",0,4
"1176","25-39",0,"none",1,"f",70,"pass",0,4
"1198","10-24",0,"none",0,"m",33,"driver",0,4
"1199","10-24",0,"none",0,"m",29,"pass",0,4
"1200","25-39",0,"none",0,"m",35,"driver",0,4
"1224","40-54",0,"belted",0,"m",58,"driver",0,4
"1239","55+",0,"none",0,"m",46,"driver",0,4
"1245","10-24",0,"none",1,"f",91,"pass",0,4
"1264","40-54",0,"none",0,"m",33,"driver",0,4
"1299","55+",0,"none",1,"f",47,"driver",1,4
"1300","55+",0,"none",1,"m",38,"pass",1,4
"1312","40-54",0,"belted",0,"m",33,"driver",1,4
"1313","40-54",0,"belted",0,"f",31,"pass",1,4
"1317","40-54",0,"none",0,"m",25,"driver",0,4
"1335","25-39",0,"belted",1,"f",82,"pass",0,4
"1380","10-24",0,"none",0,"m",27,"driver",0,4
"1398","10-24",0,"belted",0,"f",78,"pass",0,3
"1419","40-54",0,"belted",0,"f",75,"driver",0,4
"1430","25-39",0,"belted",0,"f",59,"driver",1,4
"1433","25-39",0,"belted",0,"f",72,"pass",0,4
"1434","10-24",0,"belted",1,"f",32,"driver",0,4
"1436","40-54",0,"none",0,"f",18,"driver",0,4
"1457","40-54",0,"none",0,"m",18,"driver",0,4
"1468","25-39",0,"none",1,"m",22,"driver",1,4
"1507","10-24",0,"none",1,"f",45,"driver",1,4
"1541","25-39",0,"belted",1,"m",39,"driver",0,4
"1543","55+",0,"belted",1,"f",47,"driver",0,4
"1544","55+",0,"belted",1,"m",43,"driver",0,4
"1558","40-54",0,"none",0,"f",63,"driver",1,4
"1581","40-54",0,"belted",0,"f",21,"driver",0,4
"1681","25-39",0,"none",1,"f",65,"pass",0,4
"1685","40-54",0,"none",1,"f",70,"driver",0,4
"1688","25-39",0,"none",1,"m",75,"pass",0,4
"1695","25-39",0,"none",0,"m",83,"pass",0,4
"1699","55+",0,"none",1,"m",20,"pass",0,4
"1735","55+",0,"none",1,"m",74,"driver",0,4
"1769","25-39",0,"none",1,"m",17,"driver",0,4
"1824","25-39",0,"none",0,"m",44,"driver",0,4
"1864","55+",0,"belted",0,"f",56,"driver",1,4
"1908","40-54",0,"belted",0,"m",29,"pass",1,4
"1934","25-39",0,"none",0,"f",57,"pass",0,4
"1949","25-39",0,"none",0,"m",24,"driver",1,4
"1950","55+",0,"belted",1,"m",29,"driver",0,4
"1966","25-39",0,"none",1,"m",77,"driver",1,3
"1992","55+",0,"none",0,"m",72,"driver",1,4
"1995","25-39",0,"none",0,"f",37,"driver",0,4
"2063","40-54",0,"belted",1,"f",47,"driver",0,4
"2098","40-54",0,"belted",0,"f",72,"pass",1,4
"2176","55+",0,"belted",1,"m",55,"driver",0,4
"2191","55+",0,"none",1,"m",26,"driver",0,4
"2205","25-39",0,"belted",1,"f",73,"driver",0,4
"2214","40-54",0,"belted",1,"m",23,"driver",1,4
"2228","40-54",0,"none",0,"f",22,"driver",1,4
"2240","40-54",0,"belted",1,"f",72,"driver",0,3
"2260","40-54",0,"none",1,"f",27,"driver",0,4
"2262","25-39",0,"belted",1,"m",39,"driver",0,4
"2310","55+",0,"belted",0,"m",70,"driver",0,4
"2311","55+",0,"belted",0,"f",71,"pass",0,4
"2323","10-24",0,"belted",0,"m",82,"pass",0,3
"2330","55+",0,"belted",1,"m",30,"driver",0,4
"2333","40-54",0,"none",0,"f",75,"driver",0,4
"2336","55+",0,"none",1,"f",36,"driver",0,4
"2380","55+",0,"none",1,"m",67,"driver",0,4
"2386","25-39",0,"none",1,"f",73,"pass",0,3
"2404","25-39",0,"belted",0,"f",82,"pass",0,4
"2418","10-24",0,"none",0,"m",24,"pass",0,4
"2425","55+",0,"none",0,"m",83,"driver",0,4
"2430","40-54",0,"none",1,"m",25,"driver",0,4
"2469","25-39",0,"belted",0,"m",16,"driver",0,4
"2536","55+",0,"belted",1,"f",33,"driver",0,4
"2539","10-24",0,"none",1,"m",65,"driver",0,3
"2559","55+",0,"belted",1,"f",16,"driver",0,4
"2577","40-54",0,"belted",0,"m",23,"pass",0,4
"2616","55+",0,"none",1,"m",44,"driver",0,4
"2652","55+",0,"none",1,"m",35,"driver",0,4
"2667","40-54",0,"belted",0,"f",43,"driver",0,4
"2675","55+",0,"none",1,"m",30,"driver",0,4
"2689","55+",0,"belted",0,"m",23,"driver",0,4
"2695","40-54",0,"belted",0,"m",19,"driver",1,4
"2723","55+",0,"belted",0,"m",19,"driver",0,4
"2724","55+",0,"none",0,"m",17,"pass",0,4
"2730","40-54",0,"belted",0,"m",73,"driver",0,4
"2738","25-39",0,"none",1,"m",26,"driver",0,4
"2741","55+",0,"none",1,"m",25,"driver",0,4
"2746","25-39",0,"belted",0,"f",24,"driver",1,4
"2764","55+",0,"none",1,"f",71,"driver",1,4
"2769","55+",0,"none",0,"m",46,"driver",0,4
"2776","40-54",0,"none",1,"m",21,"driver",0,4
"2781","55+",0,"none",1,"m",34,"driver",0,4
"2782","55+",0,"none",1,"f",31,"pass",0,4
"2785","40-54",0,"belted",1,"m",36,"driver",0,4
"2797","55+",0,"none",1,"f",58,"driver",0,4
"2807","55+",0,"none",1,"m",29,"driver",0,4
"2823","55+",0,"none",1,"m",23,"driver",0,4
"2832","10-24",0,"belted",0,"f",84,"driver",0,4
"2833","40-54",0,"belted",0,"f",71,"driver",0,4
"2848","25-39",0,"belted",1,"f",46,"driver",0,4
"2912","55+",0,"none",1,"m",41,"driver",0,3
"2916","55+",0,"none",0,"f",33,"driver",0,4
"2921","40-54",0,"none",1,"m",73,"driver",1,4
"2925","40-54",0,"none",1,"f",62,"driver",1,4
"2926","25-39",0,"none",1,"m",24,"driver",1,4
"2941","10-24",0,"none",1,"f",24,"driver",1,4
"2947","40-54",0,"none",0,"f",49,"driver",1,4
"2978","55+",0,"none",1,"m",75,"driver",0,4
"2979","55+",0,"none",1,"m",33,"driver",0,4
"2991","55+",0,"none",0,"f",57,"driver",0,4
"3002","40-54",0,"none",0,"f",34,"driver",1,4
"3020","25-39",0,"none",0,"m",75,"driver",0,4
"3048","40-54",0,"none",0,"m",20,"driver",1,4
"3052","25-39",0,"none",0,"m",40,"driver",1,4
"3053","25-39",0,"none",0,"f",57,"pass",0,4
"3054","25-39",0,"belted",1,"f",50,"driver",0,4
"3058","25-39",0,"none",1,"m",32,"driver",0,4
"3061","40-54",0,"belted",1,"m",63,"driver",0,4
"3063","25-39",0,"none",0,"f",49,"driver",0,4
"3088","10-24",0,"none",1,"m",53,"driver",0,4
"3107","40-54",0,"none",1,"m",74,"driver",0,3
"3117","40-54",0,"none",0,"m",34,"driver",0,4
"3130","55+",0,"belted",0,"f",33,"driver",0,4
"3131","55+",0,"none",0,"f",57,"pass",0,4
"3144","55+",0,"none",1,"f",59,"driver",0,4
"3148","40-54",0,"none",0,"m",35,"driver",0,4
"3159","55+",0,"none",1,"m",36,"driver",0,4
"3185","10-24",0,"belted",0,"f",73,"pass",0,4
"3190","40-54",0,"none",1,"f",17,"pass",0,4
"3220","55+",0,"none",0,"m",17,"driver",0,4
"3260","55+",0,"belted",0,"f",25,"driver",1,4
"3267","55+",0,"belted",1,"m",18,"pass",0,4
"3269","55+",0,"none",0,"m",77,"driver",0,4
"3272","25-39",0,"none",0,"f",50,"pass",0,4
"3299","55+",0,"belted",0,"m",56,"driver",0,4
"3321","55+",0,"none",1,"m",21,"driver",0,4
"3322","55+",0,"none",1,"m",21,"pass",0,4
"3370","25-39",0,"none",1,"m",36,"driver",0,4
"3395","25-39",0,"belted",1,"f",74,"driver",0,4
"3436","40-54",0,"belted",1,"f",81,"driver",0,4
"3461","25-39",0,"belted",1,"m",79,"driver",0,4
"3470","40-54",0,"none",1,"m",80,"driver",1,4
"3492","55+",0,"none",1,"m",52,"driver",0,4
"3498","40-54",0,"belted",1,"m",81,"driver",1,4
"3501","10-24",0,"belted",1,"f",53,"driver",0,4
"3503","25-39",0,"none",1,"f",82,"driver",0,4
"3515","10-24",0,"none",1,"m",73,"driver",0,4
"3516","10-24",0,"none",1,"f",72,"pass",0,4
"3517","55+",0,"none",0,"f",30,"driver",0,4
"3518","55+",0,"none",0,"f",58,"pass",0,4
"3541","55+",0,"belted",0,"m",86,"driver",0,4
"3542","55+",0,"belted",0,"f",87,"pass",0,4
"3554","55+",0,"belted",1,"m",26,"driver",0,4
"3561","25-39",0,"none",1,"m",18,"driver",0,4
"3596","55+",0,"belted",0,"f",76,"driver",0,4
"3599","10-24",0,"none",1,"m",40,"driver",0,4
"3602","40-54",0,"belted",0,"f",52,"pass",0,4
"3617","40-54",0,"belted",0,"m",36,"driver",1,4
"3622","40-54",0,"none",1,"f",59,"pass",0,4
"3624","55+",0,"belted",1,"m",29,"pass",0,4
"3635","25-39",0,"belted",1,"f",74,"pass",1,3
"3642","55+",0,"none",1,"m",20,"driver",0,4
"3666","25-39",0,"belted",1,"m",37,"driver",1,4
"3674","40-54",0,"none",1,"m",42,"driver",0,4
"3704","25-39",0,"belted",0,"f",81,"pass",0,4
"3712","10-24",0,"belted",1,"f",97,"driver",0,4
"3746","25-39",0,"none",0,"m",19,"driver",0,4
"3786","10-24",0,"none",0,"m",57,"driver",0,4
"3796","25-39",0,"none",0,"m",25,"driver",0,4
"3807","10-24",0,"none",1,"m",46,"driver",0,4
"3837","25-39",0,"none",0,"f",16,"pass",0,4
"3853","10-24",0,"none",1,"f",63,"pass",0,3
"3870","55+",0,"belted",1,"f",19,"pass",1,4
"3969","40-54",0,"belted",1,"m",61,"driver",1,4
"3971","25-39",0,"belted",1,"m",43,"driver",0,4
"4100","55+",0,"belted",1,"m",34,"driver",1,4
"4135","10-24",0,"belted",1,"f",30,"driver",1,4
"4141","40-54",0,"belted",1,"m",51,"driver",1,4
"4173","25-39",0,"none",0,"m",28,"pass",1,4
"4196","40-54",0,"belted",1,"m",72,"driver",0,4
"4197","10-24",0,"none",1,"f",71,"driver",1,4
"4225","40-54",0,"none",0,"m",73,"driver",0,4
"4226","40-54",0,"belted",0,"f",74,"pass",0,4
"4254","55+",0,"none",1,"m",22,"driver",1,4
"4265","55+",0,"none",1,"m",49,"driver",0,4
"4273","25-39",0,"none",0,"m",37,"driver",0,4
"4275","10-24",0,"belted",1,"f",68,"driver",0,3
"4285","25-39",0,"none",1,"m",53,"driver",0,4
"4304","10-24",0,"none",1,"m",51,"driver",0,4
"4315","40-54",0,"belted",1,"m",51,"driver",0,4
"4327","40-54",0,"belted",1,"f",72,"pass",1,4
"4337","25-39",0,"none",1,"m",20,"driver",0,3
"4347","25-39",0,"none",1,"m",32,"driver",1,4
"4348","25-39",0,"none",1,"m",42,"pass",1,4
"4357","55+",0,"belted",0,"m",26,"driver",0,4
"4358","55+",0,"belted",0,"m",26,"pass",0,4
"4372","25-39",0,"none",0,"m",37,"driver",0,4
"4375","40-54",0,"none",1,"f",57,"driver",0,4
"4376","55+",0,"belted",1,"f",45,"driver",0,4
"4379","40-54",0,"none",1,"f",24,"driver",1,4
"4421","55+",0,"none",1,"m",27,"driver",1,4
"4448","55+",0,"none",1,"m",72,"driver",0,4
"4485","55+",0,"none",0,"f",18,"pass",0,4
"4486","40-54",0,"none",1,"m",16,"driver",0,4
"4487","40-54",0,"none",1,"f",17,"pass",0,4
"4489","55+",0,"none",1,"f",23,"pass",0,4
"4490","55+",0,"none",0,"m",27,"driver",1,4
"4526","55+",0,"none",0,"m",18,"pass",0,4
"4569","40-54",0,"none",1,"m",47,"driver",1,4
"4571","10-24",0,"belted",1,"f",44,"pass",0,4
"4572","25-39",0,"none",1,"f",18,"driver",0,4
"4583","55+",0,"none",1,"m",29,"driver",1,4
"4649","25-39",0,"belted",0,"f",39,"driver",1,4
"4688","25-39",0,"none",1,"f",77,"driver",0,4
"4732","55+",0,"none",1,"m",24,"driver",1,4
"4788","40-54",0,"none",1,"m",72,"driver",0,4
"4812","40-54",0,"none",0,"m",80,"driver",0,4
"4852","25-39",0,"none",0,"m",28,"driver",0,4
"4873","55+",0,"belted",1,"m",30,"driver",1,4
"4877","40-54",0,"none",1,"f",40,"driver",0,4
"4878","40-54",0,"none",1,"m",40,"pass",0,4
"4893","55+",0,"none",0,"m",44,"driver",0,3
"4897","10-24",0,"none",0,"m",35,"driver",0,4
"4898","10-24",0,"none",0,"m",59,"driver",0,4
"4910","40-54",0,"belted",0,"m",34,"driver",1,4
"4916","55+",0,"belted",1,"f",73,"driver",1,4
"4930","40-54",0,"belted",0,"f",34,"pass",1,4
"4936","55+",0,"belted",0,"f",46,"driver",0,4
"4965","55+",0,"belted",0,"f",27,"driver",1,4
"4974","55+",0,"none",1,"f",73,"driver",1,4
"4977","10-24",0,"belted",0,"m",54,"driver",1,4
"5003","55+",0,"belted",0,"f",47,"driver",1,4
"5008","40-54",0,"none",1,"m",42,"driver",1,4
"5022","55+",0,"belted",1,"f",47,"driver",0,4
"5023","25-39",0,"none",0,"m",34,"driver",1,3
"5031","40-54",0,"none",1,"f",16,"driver",0,4
"5125","40-54",0,"none",1,"f",17,"driver",0,4
"5130","55+",0,"belted",1,"m",16,"driver",1,5
"5131","40-54",0,"belted",0,"f",19,"driver",0,3
"5166","40-54",0,"belted",1,"f",46,"driver",0,4
"5194","55+",0,"none",1,"m",36,"driver",0,4
"5217","25-39",0,"belted",1,"m",24,"pass",0,4
"5218","10-24",0,"belted",1,"m",74,"driver",0,4
"5223","10-24",0,"none",0,"m",80,"driver",0,4
"5254","55+",0,"belted",0,"m",22,"driver",1,4
"5302","10-24",0,"belted",1,"m",66,"driver",0,4
"5310","25-39",0,"none",0,"m",33,"driver",1,4
"5317","40-54",0,"none",0,"f",42,"driver",0,4
"5318","40-54",0,"none",0,"m",30,"pass",0,4
"5319","40-54",0,"belted",0,"f",34,"driver",0,4
"5397","55+",0,"none",1,"f",54,"driver",0,2
"5400","25-39",0,"none",0,"m",57,"driver",0,4
"5466","55+",0,"none",0,"m",21,"driver",1,4
"5483","25-39",0,"none",1,"m",37,"driver",1,4
"5510","55+",0,"none",0,"m",20,"driver",0,4
"5559","40-54",0,"none",1,"m",40,"driver",1,4
"5565","55+",0,"none",0,"f",25,"driver",1,4
"5566","55+",0,"none",0,"f",52,"pass",1,4
"5623","10-24",0,"none",0,"m",40,"driver",0,4
"5640","10-24",0,"none",0,"m",37,"driver",0,4
"5641","25-39",0,"none",0,"f",61,"driver",0,4
"5699","10-24",0,"belted",0,"f",22,"pass",0,4
"5700","25-39",0,"none",1,"m",31,"driver",0,4
"5708","25-39",0,"none",0,"m",40,"pass",0,4
"5721","25-39",0,"belted",0,"f",51,"pass",0,4
"5786","25-39",0,"belted",0,"f",16,"pass",0,4
"5838","40-54",0,"none",0,"m",18,"driver",0,4
"5894","55+",0,"belted",0,"m",54,"driver",0,4
"5920","40-54",0,"none",1,"f",57,"driver",0,4
"5947","55+",0,"none",1,"f",43,"driver",0,4
"5956","25-39",0,"none",1,"m",21,"driver",0,4
"5974","25-39",0,"none",1,"f",80,"driver",1,4
"6013","25-39",0,"none",0,"m",27,"driver",0,4
"6029","55+",0,"none",1,"f",22,"driver",0,4
"6038","25-39",0,"belted",0,"m",49,"driver",1,3
"6045","55+",0,"belted",1,"f",31,"driver",0,4
"6046","55+",0,"belted",1,"f",50,"pass",0,4
"6067","40-54",0,"belted",0,"m",17,"driver",0,4
"6076","55+",0,"belted",1,"m",59,"driver",0,4
"6089","25-39",0,"belted",0,"f",61,"pass",0,4
"6112","55+",0,"none",1,"m",39,"driver",0,4
"6113","55+",0,"none",1,"f",45,"pass",0,4
"6138","40-54",0,"belted",0,"f",92,"driver",0,4
"6148","55+",0,"belted",1,"f",64,"driver",1,4
"6161","40-54",0,"none",0,"f",32,"driver",0,4
"6225","40-54",0,"belted",1,"m",33,"driver",0,4
"6298","40-54",0,"belted",0,"m",41,"driver",0,4
"6331","40-54",0,"belted",0,"f",42,"driver",1,4
"6391","25-39",0,"belted",0,"f",72,"driver",0,4
"6394","25-39",0,"belted",0,"m",23,"driver",0,4
"6423","25-39",0,"belted",0,"f",45,"driver",0,4
"6432","40-54",0,"belted",0,"m",22,"driver",0,4
"6433","40-54",0,"belted",0,"m",26,"pass",0,4
"6446","40-54",0,"belted",1,"m",49,"driver",0,3
"6522","25-39",0,"belted",0,"f",22,"driver",0,4
"6562","40-54",0,"none",0,"f",19,"driver",0,4
"6565","55+",0,"none",0,"m",18,"driver",0,4
"6580","25-39",0,"none",1,"m",55,"driver",0,4
"6591","10-24",0,"belted",0,"f",69,"driver",0,3
"6598","55+",0,"none",0,"f",85,"driver",0,4
"6620","25-39",0,"none",0,"m",46,"pass",0,4
"6649","25-39",0,"belted",1,"m",88,"driver",0,4
"6671","10-24",0,"none",0,"m",31,"driver",0,4
"6710","55+",0,"none",1,"f",36,"driver",0,4
"6730","40-54",0,"none",1,"m",23,"driver",0,4
"6753","25-39",0,"belted",0,"f",18,"pass",0,3
"6841","25-39",0,"none",0,"m",19,"driver",0,4
"6900","55+",0,"none",1,"m",26,"driver",0,4
"6916","55+",0,"none",1,"m",19,"driver",0,4
"6931","40-54",0,"none",1,"m",58,"driver",0,4
"6932","40-54",0,"none",1,"f",47,"pass",0,3
"6934","40-54",0,"belted",1,"f",54,"pass",0,4
"6939","40-54",0,"belted",0,"f",24,"driver",0,4
"6944","25-39",0,"none",0,"m",19,"driver",0,4
"6947","55+",0,"none",1,"m",54,"driver",0,4
"6955","10-24",0,"none",0,"m",35,"driver",1,4
"6963","55+",0,"belted",0,"f",23,"driver",1,4
"6970","25-39",0,"none",0,"m",51,"driver",0,4
"6975","40-54",0,"none",1,"m",37,"driver",0,4
"6978","25-39",0,"none",0,"m",23,"driver",0,4
"6983","55+",0,"none",1,"m",20,"driver",0,4
"7001","55+",0,"none",1,"m",39,"driver",0,4
"7007","25-39",0,"none",0,"m",70,"pass",1,4
"7009","55+",0,"belted",1,"f",51,"driver",1,4
"7017","40-54",0,"belted",0,"f",87,"pass",0,4
"7020","40-54",0,"belted",0,"m",18,"pass",0,4
"7065","40-54",0,"none",1,"m",27,"driver",0,4
"7083","40-54",0,"none",0,"m",21,"pass",0,4
"7103","55+",0,"none",1,"m",81,"driver",0,4
"7104","55+",0,"none",1,"m",60,"driver",1,4
"7120","40-54",0,"none",1,"m",37,"driver",0,4
"7212","40-54",0,"none",1,"m",48,"driver",0,4
"7233","55+",0,"none",1,"m",36,"driver",0,4
"7240","55+",0,"belted",1,"m",28,"driver",0,4
"7265","40-54",0,"none",1,"m",43,"driver",0,4
"7284","40-54",0,"none",0,"m",43,"driver",0,4
"7289","55+",0,"none",0,"m",22,"pass",0,3
"7292","40-54",0,"none",1,"m",80,"driver",1,4
"7337","10-24",0,"none",0,"f",48,"driver",0,4
"7350","25-39",0,"none",0,"f",78,"pass",1,4
"7357","25-39",0,"belted",0,"m",41,"driver",1,4
"7358","25-39",0,"none",0,"f",41,"pass",1,3
"7368","10-24",0,"none",0,"m",57,"pass",0,4
"7375","55+",0,"none",0,"m",17,"driver",0,4
"7376","55+",0,"none",0,"m",16,"pass",0,4
"7473","40-54",0,"belted",0,"m",19,"pass",0,4
"7521","40-54",0,"belted",1,"m",59,"driver",0,4
"7540","10-24",0,"belted",1,"f",80,"driver",0,3
"7549","25-39",0,"belted",0,"m",62,"driver",1,4
"7595","25-39",0,"none",1,"f",33,"pass",0,4
"7682","55+",0,"none",1,"m",25,"driver",0,4
"7683","55+",0,"none",1,"m",32,"pass",0,4
"7737","55+",0,"belted",1,"m",66,"driver",0,4
"7851","25-39",0,"belted",0,"m",86,"driver",0,4
"7945","55+",0,"none",0,"f",74,"driver",0,4
"7948","40-54",0,"none",1,"m",18,"driver",0,4
"7991","40-54",0,"belted",0,"m",16,"driver",0,4
"8022","55+",0,"belted",0,"m",16,"pass",0,4
"8038","40-54",0,"belted",0,"m",20,"driver",0,4
"8041","55+",0,"none",1,"m",23,"driver",1,4
"8042","55+",0,"none",1,"f",27,"pass",1,4
"8044","40-54",0,"belted",0,"m",48,"driver",0,4
"8090","55+",0,"none",1,"m",27,"driver",0,4
"8171","40-54",0,"belted",0,"m",21,"driver",0,4
"8210","25-39",0,"none",0,"m",38,"driver",0,4
"8211","25-39",0,"belted",1,"m",34,"driver",0,4
"8233","40-54",0,"none",1,"m",51,"driver",0,4
"8240","40-54",0,"belted",1,"f",27,"pass",0,4
"8259","40-54",0,"none",1,"f",36,"driver",0,4
"8263","55+",0,"none",1,"f",29,"driver",0,4
"8282","55+",0,"belted",0,"m",29,"driver",0,4
"8291","25-39",0,"belted",1,"f",88,"pass",0,3
"8384","55+",0,"none",1,"f",37,"driver",0,4
"8437","40-54",0,"belted",0,"m",67,"driver",0,4
"8444","55+",0,"none",1,"f",68,"driver",0,4
"8445","55+",0,"none",1,"f",47,"pass",0,4
"8461","55+",0,"belted",1,"m",19,"driver",0,4
"8482","25-39",0,"none",1,"m",67,"driver",0,4
"8508","40-54",0,"none",1,"m",55,"driver",0,4
"8535","10-24",0,"none",0,"m",37,"pass",0,4
"8536","55+",0,"none",1,"f",71,"driver",0,3
"8550","40-54",0,"none",1,"m",42,"driver",0,4
"8551","55+",0,"none",1,"m",23,"driver",1,4
"8598","10-24",0,"none",0,"m",45,"driver",0,4
"8690","40-54",0,"belted",0,"f",18,"driver",0,4
"8737","55+",0,"belted",0,"m",21,"driver",0,4
"8820","40-54",0,"belted",0,"f",64,"driver",0,4
"8839","55+",0,"none",1,"m",62,"driver",1,4
"8848","55+",0,"none",1,"m",43,"driver",1,4
"8858","55+",0,"none",1,"m",32,"driver",1,3
"8916","25-39",0,"none",1,"f",45,"pass",0,4
"8988","40-54",0,"belted",1,"f",78,"driver",0,4
"8990","55+",0,"none",0,"m",81,"driver",1,4
"9071","10-24",0,"none",1,"m",78,"pass",0,4
"9099","25-39",0,"belted",0,"m",65,"driver",1,4
"9160","25-39",0,"none",0,"m",45,"driver",0,4
"9184","40-54",0,"none",1,"m",16,"driver",1,4
"9229","10-24",0,"none",0,"m",20,"driver",0,4
"9238","55+",0,"belted",0,"f",84,"driver",0,4
"9248","55+",0,"belted",1,"m",17,"pass",1,4
"9269","40-54",0,"belted",1,"m",45,"driver",0,4
"9295","25-39",0,"belted",0,"m",80,"driver",0,3
"9299","10-24",0,"none",0,"m",28,"driver",0,4
"9316","25-39",0,"none",1,"m",55,"driver",0,4
"9337","55+",0,"none",0,"m",25,"driver",0,4
"9338","40-54",0,"none",1,"m",56,"driver",0,4
"9370","55+",0,"belted",1,"m",17,"driver",0,4
"9377","25-39",0,"belted",0,"m",19,"driver",0,4
"9398","55+",0,"none",1,"m",39,"driver",0,3
"9423","40-54",0,"belted",1,"f",57,"driver",1,4
"9425","25-39",0,"none",1,"m",79,"pass",1,3
"9433","55+",0,"none",0,"m",20,"driver",1,4
"9465","25-39",0,"belted",1,"m",59,"driver",0,4
"9477","40-54",0,"belted",1,"f",34,"pass",1,4
"9482","55+",0,"belted",0,"m",28,"pass",0,3
"9486","55+",0,"belted",0,"m",37,"driver",0,4
"9503","55+",0,"none",0,"f",28,"driver",1,4
"9523","40-54",0,"belted",1,"m",40,"driver",0,4
"9529","40-54",0,"belted",0,"f",47,"driver",0,4
"9532","40-54",0,"none",1,"m",53,"driver",0,4
"9534","25-39",0,"belted",0,"m",61,"driver",1,3
"9653","55+",0,"none",1,"m",24,"driver",0,4
"9655","25-39",0,"none",1,"m",36,"driver",1,4
"9659","55+",0,"belted",0,"f",49,"driver",0,4
"9699","40-54",0,"none",1,"m",45,"driver",0,4
"9706","40-54",0,"belted",0,"m",43,"driver",0,4
"9717","10-24",0,"none",1,"m",22,"driver",1,4
"9755","25-39",0,"none",0,"f",62,"pass",0,3
"9781","40-54",0,"none",1,"f",56,"driver",0,4
"9782","40-54",0,"none",1,"m",38,"pass",0,4
"9821","25-39",0,"belted",0,"m",19,"pass",0,4
"9824","40-54",0,"none",0,"f",54,"driver",1,4
"9826","25-39",0,"none",0,"m",17,"driver",0,4
"9876","25-39",0,"belted",1,"m",79,"driver",0,4
"9894","55+",0,"belted",0,"f",31,"pass",0,4
"9931","25-39",0,"belted",0,"f",59,"pass",0,4
"9964","25-39",0,"belted",0,"f",49,"pass",0,4
"10062","40-54",0,"none",0,"m",44,"pass",0,4
"10063","55+",0,"none",1,"m",38,"driver",0,4
"10171","25-39",0,"none",0,"f",90,"driver",1,3
"10202","25-39",0,"belted",0,"f",81,"driver",0,4
"10244","25-39",0,"none",1,"m",86,"driver",0,4
"10253","40-54",0,"none",0,"m",73,"driver",0,4
"10254","40-54",0,"none",0,"f",53,"pass",0,4
"10292","25-39",0,"belted",1,"f",82,"pass",1,2
"10300","40-54",0,"none",1,"f",48,"driver",1,4
"10318","55+",0,"none",0,"m",21,"driver",1,4
"10319","55+",0,"none",0,"m",21,"pass",1,4
